timestamp,side,price,qty,quote
2026-09-18 00:00:16.439,sell,99.92,0.765722,76.51
2026-09-18 00:00:28.355,buy,99.92,4.203392,420.0
2026-09-18 00:00:28.922,buy,99.92,0.100081,10.0
2026-09-18 00:00:52.887,buy,99.92,0.465418,46.5
2026-09-18 00:01:17.184,buy,99.87,0.153504,15.33
2026-09-18 00:01:20.710,buy,99.87,0.109673,10.95
2026-09-18 00:01:22.454,sell,99.87,0.10013,10.0
2026-09-18 00:01:35.428,buy,99.87,0.10013,10.0
2026-09-18 00:02:05.584,sell,99.86,0.363502,36.3
2026-09-18 00:02:18.989,buy,99.86,0.165692,16.55
2026-09-18 00:02:42.534,sell,99.86,0.179318,17.91
2026-09-18 00:02:57.938,buy,99.86,0.397993,39.74
2026-09-18 00:03:04.631,buy,99.83,0.181992,18.17
2026-09-18 00:03:05.533,sell,99.83,3.282104,327.65
2026-09-18 00:03:06.441,buy,99.83,0.100172,10.0
2026-09-18 00:03:09.467,sell,99.83,0.100172,10.0
2026-09-18 00:03:17.861,sell,99.83,0.100172,10.0
2026-09-18 00:03:40.063,buy,99.83,0.100172,10.0
2026-09-18 00:03:46.025,buy,99.83,0.714248,71.3
2026-09-18 00:03:59.183,buy,99.83,3.787712,378.12
2026-09-18 00:04:05.016,buy,99.81,0.646438,64.52
2026-09-18 00:04:42.079,sell,99.81,0.100191,10.0
2026-09-18 00:04:47.398,sell,99.81,0.300882,30.03
2026-09-18 00:05:01.102,sell,99.85,0.100155,10.0
2026-09-18 00:05:12.888,sell,99.85,0.536312,53.55
2026-09-18 00:05:26.449,sell,99.85,0.100155,10.0
2026-09-18 00:05:37.067,buy,99.85,0.130273,13.01
2026-09-18 00:05:41.313,sell,99.85,0.243989,24.36
2026-09-18 00:05:55.099,sell,99.85,0.40626,40.56
2026-09-18 00:05:58.915,buy,99.85,0.113964,11.38
2026-09-18 00:06:16.039,buy,99.79,1.850589,184.68
2026-09-18 00:06:21.872,buy,99.79,0.100208,10.0
2026-09-18 00:06:44.419,buy,99.79,0.283362,28.28
2026-09-18 00:06:51.112,buy,99.79,0.100208,10.0
2026-09-18 00:07:09.387,buy,99.8,0.280515,28.0
2026-09-18 00:07:18.310,buy,99.8,0.36463,36.39
2026-09-18 00:07:22.770,buy,99.8,0.557043,55.6
2026-09-18 00:07:23.674,buy,99.8,0.200376,20.0
2026-09-18 00:07:45.526,buy,99.8,0.100196,10.0
2026-09-18 00:08:06.031,buy,99.77,0.716871,71.52
2026-09-18 00:08:07.493,sell,99.77,0.436473,43.55
2026-09-18 00:08:17.545,buy,99.77,0.100229,10.0
2026-09-18 00:08:25.817,buy,99.77,0.100229,10.0
2026-09-18 00:08:34.285,buy,99.77,0.196931,19.65
2026-09-18 00:08:53.371,sell,99.77,0.539749,53.85
